,Date Created,User,Tweet
0,2023-01-04 05:46:02+00:00,PUANnews,"Tolak Pilih Anies dan Dukung @PuanMaharani_RI [#PuanMaharani]Maharani Capres 2024, Cucu Soekarno: Wakilnya Erick Thohir atau Sandiaga Uno - https://t.co/Df3bnJWZM8 https://t.co/QOSUi0z5pg"
1,2023-01-04 05:44:53+00:00,PUANnews,"#Tolak Pilih Anies dan Dukung Puan Maharani Capres 2024, Cucu Soekarno: Wakilnya Erick Thohir atau Sandiaga Uno - https://t.co/Df3bnJWrWA 
#PuanMaharani

https://t.co/t3wKAagXqc"
2,2022-11-27 22:23:40+00:00,fazlefy,"@democrazymedia Ini acara relawan pendukung JOKOWI.

Menolak lupa!!
Pda Periode#1 Jokowi memerintah menteri2 kabinet sering di usir/tolak saat dengar pendpat dg DPR pdhl kursi PDIP mayoritas di parlemen.

Silahkan PDIP calonkan PUAN utk 2024

Kami tetap 1 komando.
#KamiBersamaJokowi"
3,2022-10-13 10:58:50+00:00,M17522147,"PADA AKHIRNYA SECARA ALAMI ""SAMPAH"" AKAN MEMISAHKAN DIRI KARENA TERTIUP ANGIN.. ALAM PUN TAK MAU SAMPAH2 MENYATU DENGANYA..TINGGAL TUGAS MANUSIA YG PUNYA AKAL NALAR, HARUS DIAPAKAN SAMPAH2 TERSEBUT??!!. 

#TOLAKNASDEM2024
#TOLAKDEMOKRAT2024
#TOLAKPKS2024
#TOLAKPUAN2024 https://t.co/drR93KnjyU"
4,2022-10-06 10:30:08+00:00,YennyAn91642232,@cnbcindonesia Gubernur dki jkt ora bcus krja dicapreskan jdi ri 1 di thn 2024 nkri ancur rakyatnya trsungkur masyarakatnya babak belur lbih baik bu puan maharani undur diri yg maju prabowo subianto dg pa btp agar nkri bsa byar utang ke LN jika pa jokowi tolak maju di pemilu 2024 shg nkri baik2
5,2022-10-03 15:39:51+00:00,WinHtbat3,"Surya Paloh ngapain peluk @puanmaharani_ri kalau Nasdem tidak capreskan Puan? 
Tidak sopan?

Tolak Anies Baswedan Capres 2024
Tolak Anies Baswedan Capres 2024
https://t.co/SFxLquToBq"
6,2022-10-03 11:16:30+00:00,bowo_1987,"@kentarockers Utk 2024 . Yg sekarang ini ya perjuangkan utk tolak kenaikan BBM. Jd mau nya gmn, calon sp yg mau di dukung? Puan Maharani yg Uda pasti lolos ambang batas,. Atau Ganjar, yg dibelakang nya pasukan abu janda,.Denny Siregar CS. Atau pak Prabowo, yg meninggalkan para pendukung nya."
7,2022-09-30 15:30:50+00:00,Syamsul55510244,"@rn88910 @VeelaaRhie Dari RAKYAT .. oleh RAKYAT  .. untuk RAKYAT .. itu ada pada PAKDE  JOKOWI dan GANJAR PRANOWO ..❤🌹❤ Puan Maharani dari elite ""POLITIK"" .. Prabowo dan AHY dari elite ""MILITER"" .. Anus bas edan dari minoritas ""ARAB""..! 😡  TOLAK !!!  ke empat orang tsb dalam PILPRES tahun 2024 ❤"
8,2022-09-28 11:07:10+00:00,hasihombing,"@imanlagi @thisissxxt Satu Kata Tolak Puan!
2024
Bila Penting Ikut Partainya.
Kita Pemilih Dari Mulai PDI Ke PDIP, Walau Ada Sdr Jauh Ada Disana - PDI Red DR P Siregar Yg Jadi Menteri.
Mantap
God Bless MR GP 2024 https://t.co/fdyKHwhxR6"
9,2022-09-27 23:50:47+00:00,Zaindamai,"@puanmaharani_ri Dear Bu Puan, kami pemilih PDIP akan bangga bila Bu Puan berani tolak bisikan oposisi utk maju capres dan legowo usung Pak #GanjarPranowo capres PDIP 2024 , hatur huwun Bu Puan 🙏 @PDI_Perjuangan @ganjar_center"
10,2022-09-25 11:15:25+00:00,abah_mumtaz,"@Tan_Mar3M @ChusnulCh__ Ayo Dukung @puanmaharani_ri utk maju menjadi RI-1 2024.
Anak dr Ketum PDIP, Cucu dr Proklamator kemerdekaan RI.

Tolak Den Bokep menuju RI-1

Contoh Dukungan utk Mba Puan
😁✌☕"
11,2022-09-23 01:23:37+00:00,kumparan,"Ragam Survei Charta: 57% Tolak Prabowo-Jokowi di 2024; Puan Potensi Jadi Beban: Yunarto menjelaskan partai tidak hanya menggunakan hasil survei sebagai pertimbangan dalam memilih capres yang akan diusung. Ia menilai, hal itu merupakan bagian dari… https://t.co/5QMsYWXS6E"
12,2022-09-21 08:34:36+00:00,AcoyBk,"Hanya 2 Syarat untuk Mendongkrak elektabilitas Puan &amp; bisa bersaing di Pilpres 2024,
1) TOLAK kenaikan BBM
2) BATALKAN IKN

Ini kuncinya !!!! https://t.co/u0wKPw2iXN https://t.co/gZ9vQUiBMl"
13,2022-09-18 03:25:00+00:00,Msbrow8,"Eksis wong cilik tp suka nyakiti lewat BBM naik, dulu tolak BLT skrg tiru2 prog.BLT SBY, dia cuma org titipan si mata sipit. Satu kata kawan2 ""Tolak capres PDIP 2024"" ganjar, puan, hasto https://t.co/WBGEJhChdv"
14,2022-09-06 21:15:02+00:00,WartaEkonomi,Rahasia Agar Puan Menang di Pilpres 2024: 'Tolak Kenaikan BBM!' https://t.co/V058jIk6GT
15,2022-08-29 06:49:16+00:00,SoettaSena,Tolak Puan Capres 2024 https://t.co/k6r9WP2YFw
16,2022-08-29 06:48:36+00:00,SoettaSena,@alextham878 Tolak Puan Capres 2024
17,2022-08-27 00:36:52+00:00,SoettaSena,@BossssKR Galang dukungan tolak Puan Capres 2024
18,2022-07-17 00:00:46+00:00,RahmadDodiSire1,@Santo09054972 @UkanIbrahim @aniesbaswedan TOLAAKK.!!! Dengan keras jika Puan disandingkan dengan Anies Baswedan pada pilpres 2024. Sampaikan kepada mereka bahwa Anies tidak pantas dan tidak elok jika berpasangan dengan Puan sang Putri mahkota dari Partai berbaju merah. Aku dan para pendukung Anies Tidak ridho. Tolak Puan
19,2022-06-27 14:47:13+00:00,lawuk_karta,"Memasangkan Anies-Puan atau Anies-Ganjar di pilpres 2024 yg diusulkan Surya Paloh itu si bukannya menyatukan tetapi lebih ke menyakitkan. Menyakitkan pendukung Ganjar dan menyenangkan pendukung Anies. Enak di Anies gak enak di Ganjar. Tolak usulan Surya Paloh itu, percuma..."
20,2022-06-14 15:10:52+00:00,MartinusButarb1,"Dan artinya pula tdk ada alasan bicara amandemen pasal UUD 45 ttg periode jabatan presiden. Yg msh bicara 3 periode patut dianggap sabotase pemilu. Dan MPR wajib tolak wacana tsb.

Puan: Tahapan Pemilu 2024 Resmi Diluncurkan, Tak Ada Bahas Penundaan https://t.co/eDiNhoHx9K"
21,2022-06-04 00:19:04+00:00,anies_RI1_2024,"Tolong pak @aniesbaswedan tolak Ganjar dan Puan. Jika pak Anies ingin bertarung, sebaiknya duet dengan kader partai lain. Menang bisa Indonesia baru
Kalah akan terhormat
PDIP sebaiknya dijadikan oposisi 2024. https://t.co/29N0ZVFfg4"
22,2022-05-31 08:47:04+00:00,haluanharian,"Puan Minta Polemik Penundaan Pemilu 2024 Dihentikan, Pengamat: Jokowi Tegaskan Tolak Penundaan https://t.co/cbXE5Z6x6r"
23,2022-05-23 05:45:26+00:00,Indopolitika,"‘Demi’ Ganjar, Jokowi Disebut Bakal Tolak Puan-Capres PDIP di Pemilu 2024 https://t.co/uDoedZiLtS"
24,2022-05-23 05:45:20+00:00,Indopolitika,"‘Demi’ Ganjar, Jokowi Disebut Bakal Tolak Puan-Capres PDIP di Pemilu 2024 https://t.co/uDoedZjjjq via @Indopolitika"
25,2022-05-11 13:44:42+00:00,redaksijakarta2,Tolak Tunda Pemilu 2024 Puan Dinilai Sebagai Negarawan https://t.co/BunIW6ZNC1
26,2022-04-29 06:54:48+00:00,LarosMedia,"Tegas! Puan Maharani Tolak Penundaan Pemilu 2024
https://t.co/2TcOMLksmg"
27,2022-04-13 07:00:00+00:00,Giandraarshaka,"Ibu puan Maharani ini sangat peduli nasip rakyat ya #JokowiBersamaPuan
Tolak Tunda Pemilu 2024 https://t.co/cE4EucNLNo"
